activity_name	activity_type	country	date	duration	participants	budget	sdg	unit
Scouting Evolution & Adaptation	 training	Spain	13/05/2025	2	35	1407	Quality Education	Leaders
Volunteer Opportunities	 training	Spain	08/01/2025	2	48	160.8	Quality Education	Leaders
camps, excursions, outdoor activities	 camp	Spain	12/11/2025	4	90	4221	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Volunteer Scout Leaders Team	 training	Spain	28/10/2025	2	32	214.4	Quality Education	Leaders
Beavers Section Introduction	 journey	Spain	03/10/2025	4	88	2063.6	Quality Education	Scouts | Guides
4th Eurasia Youth Forum	International Event	Ukraine	05/10/2024	2	196	3265360	Peace, Justice and Strong Institutions, Quality Education, Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
7th Eurasia Scout Conference	International Event	Ukraine	21/09/2023	3	164	2689600	Peace, Justice and Strong Institutions, Quality Education, Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
NICES 2021	International Event	Netherlands	09/09/2023	11	100	810000	Quality Education	Scouts | Guides | Rovers | Rangers
26th Australian Jamboree (AJ2022)	International Event	Australia	19/11/2023	11	136	2330496	Quality Education	Scouts | Guides | Rovers | Rangers
Hile 2022	International Event	Finland	16/10/2023	5	86	710016	Life on Land	Scouts | Guides | Rovers | Rangers
Finnjamboree Kajo 2022	International Event	Finland	08/09/2023	9	192	4644864	Quality Education	Scouts | Guides | Rovers | Rangers
Jamboree Denmark 2022	International Event	Denmark	01/11/2025	9	122	1160952	Quality Education	Scouts | Guides | Rovers | Rangers
VCP National Jamboree	International Event	Germany	20/09/2025	10	110	895400	Life on Land	Scouts | Guides | Rovers | Rangers
Elpida - Hellenic National Jamboree 2022	International Event	Greece	28/11/2025	11	111	1034964	Life on Land	Scouts | Guides | Rovers | Rangers
Youth Advocate Training Europe	International Event	Belgium	22/10/2025	5	170	1734000	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
JOTA-JOTI 2022	International Event	International	28/09/2025	3	175	2327500	Quality Education	Scouts | Guides | Rovers | Rangers
European Sustainability Forum 2022	International Event	Denmark	04/11/2024	4	96	1234944	Sustainable Communities, Responsible Consumption and Production, Climate Action, Life Below Water, Life on Land, Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
European Communications Forum	International Event	Austria	07/11/2024	5	132	1237104	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
The Academy 2022	International Event	Lithuania	03/11/2023	5	126	920808	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
Azimuth Platform on-line Training	International Event	International	08/10/2023	1	126	2286144	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
Scouts Humanitarians: Youth Panel	International Event	International	06/11/2023	1	111	998001	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
Signifo2 – include the Spiritual Dimension in your activities	International Event	Spain	14/09/2024	3	171	4122981	Good Health and Wellbeing	Scouts | Guides | Rovers | Rangers
Peace Education training	International Event	Latvia	04/10/2025	6	160	1843200	Peace, Justice and Strong Institutions	Scouts | Guides | Rovers | Rangers
European Youth Agora	International Event	Portugal	08/10/2025	5	179	4133289	Quality Education	Scouts | Guides | Rovers | Rangers
1st Africa Rover Moot, Kenya 2023	International Event	Kenya	08/09/2024	11	183	3851235	Quality Education, Life on Land	Rovers
Advocates for Europe (CANCELLED)	International Event	Belgium	19/09/2025	5	173	2484107	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
APR Awareness Workshop on Wellness and Safety in Scouting (Online)	International Event	International	12/10/2025	3	186	4255308	Good Health and Wellbeing	Scouts | Guides | Rovers | Rangers
Overture Diversity Network	International Event	Finland	14/10/2023	3	117	1779570	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
22nd APR Scout Photo Contest	International Event	International	19/10/2024	101	123	1346481	Sustainable Communities	Scouts | Guides | Rovers | Rangers
APR Partnerships Forum	International Event	Malaysia	06/10/2023	4	126	2254392	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
WeAct Forum	International Event	Poland	03/09/2025	5	162	3254256	Peace, Justice and Strong Institutions	Scouts | Guides | Rovers | Rangers
Asia-Pacific Youth Mobilisation Summit	International Event	Malaysia	14/11/2024	4	127	1096772	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
25th World Scout Jamboree - Korea 2023	International Event	South Korea	25/11/2025	12	142	1451808	Quality Education, Gender Equality	Scouts | Guides | Rovers | Rangers
10th European Educational Methods Forum	International Event	North Macedonia	23/11/2023	5	148	2015168	Quality Education	Scouts | Guides | Rovers | Rangers
APR Humanitarian Action Workshop	International Event	Thailand	04/09/2023	4	129	1481049	Climate Action	Scouts | Guides | Rovers | Rangers
The Academy 2023	International Event	Germany	07/11/2025	6	132	1724976	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
European Networking Event	International Event	Hungary	21/09/2024	4	128	1310720	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
Chief Commissioners’ Network Meeting and Chief Executives’ Meeting	International Event	United Kingdom	20/09/2024	3	112	965888	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
ImpactYOUth: Measuring Youth Development Together	International Event	Belgium	16/10/2024	3	109	1069290	Quality Education	Scouts | Guides | Rovers | Rangers
Agora 2024	International Event	Sweden	26/10/2025	5	105	1521450	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
The Growth Event 3.0	International Event	Czechia	24/11/2025	5	151	1801279	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
Overture Diversity Network	International Event	United Kingdom	28/10/2025	3	142	2883452	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
Scouts for the Ocean Decade	International Event	International	27/09/2025	31	164	2635808	Life Below Water, Sustainable Communities, Climate Action	Scouts | Guides | Rovers | Rangers
Roverway	International Event	Norway	16/10/2023	12	124	1460720	Partnerships for the Goals	Rovers
43rd World Scout Conference - Egypt 2024	International Event	Egypt	17/11/2024	7	135	2569725	Peace, Justice and Strong Institutions	Scouts | Guides | Rovers | Rangers
European Sustainability Forum 2024	International Event	Greece	21/11/2025	5	183	2612142	Life on Land	Scouts | Guides | Rovers | Rangers
JOTA-JOTI 2024	International Event	International	13/10/2024	3	80	339200	Quality Education	Scouts | Guides | Rovers | Rangers
European Communications Forum 2024	International Event	Bulgaria	03/11/2025	5	82	497576	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
The Academy 2024	International Event	Poland	10/11/2025	6	142	2701976	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
Senior Scout Adventure Cederberg 2024	International Event	South Africa	06/10/2023	12	132	1393920	Gender Equality, Good Health and Wellbeing, Responsible Consumption and Production	Scouts | Guides | Rovers | Rangers
Arab NSOs International Commissioners Gathering 2025	International Event	Kuwait	12/10/2024	4	174	3814776	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
The 10th Sharjah International Scout Gathering	International Event	United Arab Emirates	08/10/2025	9	88	875072	Reduced Inequalities	Scouts | Guides | Rovers | Rangers
Africa Scout Day Celebrations 2025	International Event	Madagascar	02/10/2023	3	122	803736	Quality Education	Scouts | Guides | Rovers | Rangers
European Scout Symposium 2025	International Event	Sweden	20/11/2023	3	81	485514	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
European Agora 2025	International Event	Albania	28/10/2025	5	164	2259264	Quality Education	Scouts | Guides | Rovers | Rangers
KISC JOTA-JOTI	International Event	International	03/09/2023	5	86	724808	Sustainable Communities	Scouts | Guides | Rovers | Rangers
Summer 2025 International Rover Week at KISC	International Event	Switzerland	19/11/2025	9	128	1097728	Quality Education	Rovers
25th European Scout Conference	International Event	Austria	05/09/2024	5	191	2261822	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
16th World Scout Moot	International Event	Portugal	27/10/2025	10	102	1310904	Sustainable Communities	Scouts | Guides | Rovers | Rangers
10th Africa Scout Youth Forum	International Event	Madagascar	24/11/2024	3	156	3090672	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
19th Africa Scout Conference	International Event	Madagascar	06/10/2024	4	161	3006836	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
Asia-Pacific Region Course for Leader Trainers	International Event	Taiwan	22/09/2023	7	142	2580992	Quality Education	Leaders
11th Asia-Pacific Regional Scout Youth Forum	International Event	Taiwan	07/10/2025	4	181	1998421	Quality Education	Scouts | Guides | Rovers | Rangers
28th Asia-Pacific Regional Scout Conference	International Event	Taiwan	16/10/2024	6	127	919353	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
Community actions BY youth, for Peace Education	International Event	Poland	23/10/2025	5	83	682011	Peace, Justice and Strong Institutions	Scouts | Guides | Rovers | Rangers
JOTA-JOTI 2025	International Event	International	03/09/2025	3	151	1254055	Reduced Inequalities	Scouts | Guides | Rovers | Rangers
29th Interamerica Regional Scout Conference	International Event	Curaçao	19/09/2025	4	184	1862080	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
The Scout and Guide Academy 2025	International Event	Greece	28/09/2025	6	124	968688	Quality Education	Scouts | Guides | Rovers | Rangers
31st Arab Scout Conference	International Event	United Arab Emirates	19/11/2025	7	115	859625	Peace, Justice and Strong Institutions	Scouts | Guides | Rovers | Rangers
33rd Asia-Pacific Regional Scout Jamboree	International Event	Philippines	13/10/2023	8	162	3385476	Peace, Justice and Strong Institutions	Scouts | Guides | Rovers | Rangers
Winter 2026 International Rover Week at KISC	International Event	Switzerland	08/11/2024	9	198	3998808	Peace, Justice and Strong Institutions	Rovers
